"","season","date","team","game_num"
"2648","2006-2007","2006-11-12","NOH",7
"2649","2006-2007","2006-11-12","POR",7
"2650","2006-2007","2006-11-12","SAC",6
"2651","2006-2007","2006-11-12","TOR",6
"2652","2006-2007","2006-11-12","WAS",6
"2653","2006-2007","2006-11-13","BOS",7
"2654","2006-2007","2006-11-13","BRK",6
"2655","2006-2007","2006-11-13","CLE",7
"2656","2006-2007","2006-11-13","NYK",8
"2657","2006-2007","2006-11-13","OKC",8
"2658","2006-2007","2006-11-13","ORL",8
"2659","2006-2007","2006-11-14","ATL",7
"2660","2006-2007","2006-11-14","CHA",7
"2661","2006-2007","2006-11-14","CHI",7
"2662","2006-2007","2006-11-14","DAL",7
"2663","2006-2007","2006-11-14","DEN",6
"2664","2006-2007","2006-11-14","GSW",8
"2665","2006-2007","2006-11-14","HOU",8
"2666","2006-2007","2006-11-14","LAC",7
"2667","2006-2007","2006-11-14","MIA",7
"2668","2006-2007","2006-11-14","MIL",8
"2669","2006-2007","2006-11-14","MIN",7
"2670","2006-2007","2006-11-14","NOH",8
"2671","2006-2007","2006-11-14","POR",8
"2672","2006-2007","2006-11-14","SAS",7
"2673","2006-2007","2006-11-14","TOR",7
"2674","2006-2007","2006-11-14","UTA",8
"2675","2006-2007","2006-11-15","BOS",8
"2676","2006-2007","2006-11-15","BRK",7
"2677","2006-2007","2006-11-15","CHA",8
"2678","2006-2007","2006-11-15","CLE",8
"2679","2006-2007","2006-11-15","DEN",7
"2680","2006-2007","2006-11-15","DET",8
"2681","2006-2007","2006-11-15","IND",8
"2682","2006-2007","2006-11-15","MEM",7
"2683","2006-2007","2006-11-15","MIL",9
"2684","2006-2007","2006-11-15","NOH",9
"2685","2006-2007","2006-11-15","NYK",9
"2686","2006-2007","2006-11-15","OKC",9
"2687","2006-2007","2006-11-15","ORL",9
"2688","2006-2007","2006-11-15","PHI",7
"2689","2006-2007","2006-11-15","POR",9
"2690","2006-2007","2006-11-15","SAC",7
"2691","2006-2007","2006-11-15","SAS",8
"2692","2006-2007","2006-11-15","WAS",7
"2693","2006-2007","2006-11-16","CHI",8
"2694","2006-2007","2006-11-16","GSW",9
"2695","2006-2007","2006-11-16","HOU",9
"2696","2006-2007","2006-11-16","SAC",8
"2697","2006-2007","2006-11-17","BOS",9
"2698","2006-2007","2006-11-17","BRK",8
"2699","2006-2007","2006-11-17","CHI",9
"2700","2006-2007","2006-11-17","CLE",9
"2701","2006-2007","2006-11-17","DAL",8
"2702","2006-2007","2006-11-17","DET",9
"2703","2006-2007","2006-11-17","IND",9
"2704","2006-2007","2006-11-17","LAL",9
"2705","2006-2007","2006-11-17","MEM",8
"2706","2006-2007","2006-11-17","MIA",8
"2707","2006-2007","2006-11-17","MIN",8
"2708","2006-2007","2006-11-17","NYK",10
"2709","2006-2007","2006-11-17","OKC",10
"2710","2006-2007","2006-11-17","PHI",8
"2711","2006-2007","2006-11-17","PHO",8
"2712","2006-2007","2006-11-17","POR",10
"2713","2006-2007","2006-11-17","SAS",9
"2714","2006-2007","2006-11-17","TOR",8
"2715","2006-2007","2006-11-17","UTA",9
"2716","2006-2007","2006-11-17","WAS",8
"2717","2006-2007","2006-11-18","ATL",8
"2718","2006-2007","2006-11-18","BOS",10
"2719","2006-2007","2006-11-18","BRK",9
"2720","2006-2007","2006-11-18","CHA",9
"2721","2006-2007","2006-11-18","CLE",10
"2722","2006-2007","2006-11-18","DAL",9
"2723","2006-2007","2006-11-18","DEN",8
"2724","2006-2007","2006-11-18","DET",10
"2725","2006-2007","2006-11-18","GSW",10
"2726","2006-2007","2006-11-18","HOU",10
"2727","2006-2007","2006-11-18","IND",10
"2728","2006-2007","2006-11-18","LAC",8
"2729","2006-2007","2006-11-18","MEM",9
"2730","2006-2007","2006-11-18","MIA",9
"2731","2006-2007","2006-11-18","MIL",10
"2732","2006-2007","2006-11-18","MIN",9
"2733","2006-2007","2006-11-18","NOH",10
"2734","2006-2007","2006-11-18","NYK",11
"2735","2006-2007","2006-11-18","OKC",11
"2736","2006-2007","2006-11-18","ORL",10
"2737","2006-2007","2006-11-18","PHI",9
"2738","2006-2007","2006-11-18","PHO",9
"2739","2006-2007","2006-11-18","POR",11
"2740","2006-2007","2006-11-18","TOR",9
"2741","2006-2007","2006-11-18","UTA",10
"2742","2006-2007","2006-11-18","WAS",9
"2743","2006-2007","2006-11-19","CHI",10
"2744","2006-2007","2006-11-19","LAL",10
"2745","2006-2007","2006-11-19","SAC",9
"2746","2006-2007","2006-11-19","SAS",10
"2747","2006-2007","2006-11-20","BRK",10
"2748","2006-2007","2006-11-20","CHA",10
"2749","2006-2007","2006-11-20","DAL",10
"2750","2006-2007","2006-11-20","GSW",11
"2751","2006-2007","2006-11-20","HOU",11
"2752","2006-2007","2006-11-20","MEM",10
"2753","2006-2007","2006-11-20","NYK",12
"2754","2006-2007","2006-11-20","OKC",12
"2755","2006-2007","2006-11-20","ORL",11
"2756","2006-2007","2006-11-20","PHO",10
"2757","2006-2007","2006-11-20","POR",12
"2758","2006-2007","2006-11-20","SAS",11
"2759","2006-2007","2006-11-20","TOR",10
"2760","2006-2007","2006-11-20","UTA",11
"2761","2006-2007","2006-11-21","CHI",11
"2762","2006-2007","2006-11-21","CLE",11
"2763","2006-2007","2006-11-21","DAL",11
"2764","2006-2007","2006-11-21","DEN",9
"2765","2006-2007","2006-11-21","DET",11
"2766","2006-2007","2006-11-21","IND",11
"2767","2006-2007","2006-11-21","LAC",9
"2768","2006-2007","2006-11-21","LAL",11
"2769","2006-2007","2006-11-21","MEM",11
"2770","2006-2007","2006-11-21","MIA",10
"2771","2006-2007","2006-11-21","MIL",11
"2772","2006-2007","2006-11-21","NOH",11
"2773","2006-2007","2006-11-21","PHI",10
"2774","2006-2007","2006-11-21","WAS",10
"2775","2006-2007","2006-11-22","ATL",9
"2776","2006-2007","2006-11-22","BOS",11
"2777","2006-2007","2006-11-22","BRK",11
"2778","2006-2007","2006-11-22","CHA",11
"2779","2006-2007","2006-11-22","CLE",12
"2780","2006-2007","2006-11-22","DEN",10
"2781","2006-2007","2006-11-22","DET",12
"2782","2006-2007","2006-11-22","GSW",12
"2783","2006-2007","2006-11-22","HOU",12
"2784","2006-2007","2006-11-22","IND",12
"2785","2006-2007","2006-11-22","LAC",10
"2786","2006-2007","2006-11-22","MIA",11
"2787","2006-2007","2006-11-22","MIL",12
"2788","2006-2007","2006-11-22","MIN",10
"2789","2006-2007","2006-11-22","NOH",12
"2790","2006-2007","2006-11-22","NYK",13
"2791","2006-2007","2006-11-22","OKC",13
"2792","2006-2007","2006-11-22","ORL",12
"2793","2006-2007","2006-11-22","PHI",11
"2794","2006-2007","2006-11-22","PHO",11
"2795","2006-2007","2006-11-22","POR",13
"2796","2006-2007","2006-11-22","SAC",10
"2797","2006-2007","2006-11-22","SAS",12
"2798","2006-2007","2006-11-22","TOR",11
"2799","2006-2007","2006-11-22","UTA",12
"2800","2006-2007","2006-11-22","WAS",11
"2801","2006-2007","2006-11-24","ATL",10
"2802","2006-2007","2006-11-24","BOS",12
"2803","2006-2007","2006-11-24","BRK",12
"2804","2006-2007","2006-11-24","CHA",12
"2805","2006-2007","2006-11-24","CHI",12
"2806","2006-2007","2006-11-24","CLE",13
"2807","2006-2007","2006-11-24","DAL",12
"2808","2006-2007","2006-11-24","DEN",11
"2809","2006-2007","2006-11-24","DET",13
"2810","2006-2007","2006-11-24","GSW",13
"2811","2006-2007","2006-11-24","IND",13
"2812","2006-2007","2006-11-24","LAL",12
"2813","2006-2007","2006-11-24","MEM",12
"2814","2006-2007","2006-11-24","MIA",12
"2815","2006-2007","2006-11-24","MIN",11
"2816","2006-2007","2006-11-24","NOH",13
"2817","2006-2007","2006-11-24","NYK",14
"2818","2006-2007","2006-11-24","OKC",14
"2819","2006-2007","2006-11-24","ORL",13
"2820","2006-2007","2006-11-24","PHI",12
"2821","2006-2007","2006-11-24","PHO",12
"2822","2006-2007","2006-11-24","SAC",11
"2823","2006-2007","2006-11-24","SAS",13
"2824","2006-2007","2006-11-24","TOR",12
"2825","2006-2007","2006-11-24","UTA",13
"2826","2006-2007","2006-11-24","WAS",12
"2827","2006-2007","2006-11-25","ATL",11
"2828","2006-2007","2006-11-25","BOS",13
"2829","2006-2007","2006-11-25","CHA",13
"2830","2006-2007","2006-11-25","CHI",13
"2831","2006-2007","2006-11-25","CLE",14
"2832","2006-2007","2006-11-25","DAL",13
"2833","2006-2007","2006-11-25","DET",14
"2834","2006-2007","2006-11-25","GSW",14
"2835","2006-2007","2006-11-25","HOU",13
"2836","2006-2007","2006-11-25","LAC",11
"2837","2006-2007","2006-11-25","MEM",13
"2838","2006-2007","2006-11-25","MIA",13
"2839","2006-2007","2006-11-25","MIL",13
"2840","2006-2007","2006-11-25","MIN",12
"2841","2006-2007","2006-11-25","NOH",14
"2842","2006-2007","2006-11-25","NYK",15
"2843","2006-2007","2006-11-25","ORL",14
"2844","2006-2007","2006-11-25","PHI",13
"2845","2006-2007","2006-11-25","POR",14
"2846","2006-2007","2006-11-25","SAC",12
"2847","2006-2007","2006-11-25","UTA",14
"2848","2006-2007","2006-11-25","WAS",13
"2849","2006-2007","2006-11-26","BRK",13
"2850","2006-2007","2006-11-26","DEN",12
"2851","2006-2007","2006-11-26","IND",14
"2852","2006-2007","2006-11-26","LAC",12
"2853","2006-2007","2006-11-26","LAL",13
"2854","2006-2007","2006-11-26","OKC",15
"2855","2006-2007","2006-11-26","PHO",13
"2856","2006-2007","2006-11-26","POR",15
"2857","2006-2007","2006-11-26","SAS",14
"2858","2006-2007","2006-11-26","TOR",13
"2859","2006-2007","2006-11-27","DAL",14
"2860","2006-2007","2006-11-27","GSW",15
"2861","2006-2007","2006-11-27","MIA",14
"2862","2006-2007","2006-11-27","MIN",13
"2863","2006-2007","2006-11-27","ORL",15
"2864","2006-2007","2006-11-27","PHI",14
"2865","2006-2007","2006-11-27","SAS",15
"2866","2006-2007","2006-11-27","UTA",15
"2867","2006-2007","2006-11-28","ATL",12
"2868","2006-2007","2006-11-28","BRK",14
"2869","2006-2007","2006-11-28","CHA",14
"2870","2006-2007","2006-11-28","CHI",14
"2871","2006-2007","2006-11-28","DEN",13
"2872","2006-2007","2006-11-28","HOU",14
"2873","2006-2007","2006-11-28","IND",15
"2874","2006-2007","2006-11-28","LAC",13
"2875","2006-2007","2006-11-28","LAL",14
"2876","2006-2007","2006-11-28","MEM",14
"2877","2006-2007","2006-11-28","MIL",14
"2878","2006-2007","2006-11-28","MIN",14
"2879","2006-2007","2006-11-28","NOH",15
"2880","2006-2007","2006-11-28","NYK",16
"2881","2006-2007","2006-11-28","POR",16
"2882","2006-2007","2006-11-28","SAC",13
"2883","2006-2007","2006-11-28","TOR",14
"2884","2006-2007","2006-11-28","WAS",14
"2885","2006-2007","2006-11-29","ATL",13
"2886","2006-2007","2006-11-29","BOS",14
"2887","2006-2007","2006-11-29","BRK",15
"2888","2006-2007","2006-11-29","CHA",15
"2889","2006-2007","2006-11-29","CLE",15
"2890","2006-2007","2006-11-29","DAL",15
"2891","2006-2007","2006-11-29","GSW",16
"2892","2006-2007","2006-11-29","HOU",15
"2893","2006-2007","2006-11-29","IND",16
"2894","2006-2007","2006-11-29","LAC",14
"2895","2006-2007","2006-11-29","MEM",15
"2896","2006-2007","2006-11-29","NYK",17
"2897","2006-2007","2006-11-29","OKC",16
"2898","2006-2007","2006-11-29","ORL",16
"2899","2006-2007","2006-11-29","PHO",14
"2900","2006-2007","2006-11-29","SAS",16
"2901","2006-2007","2006-11-29","TOR",15
"2902","2006-2007","2006-11-29","UTA",16
"2903","2006-2007","2006-11-30","DET",15
"2904","2006-2007","2006-11-30","LAL",15
"2905","2006-2007","2006-11-30","MIA",15
"2906","2006-2007","2006-11-30","UTA",17
"2907","2006-2007","2006-12-01","ATL",14
"2908","2006-2007","2006-12-01","BOS",15
"2909","2006-2007","2006-12-01","CHA",16
"2910","2006-2007","2006-12-01","CHI",15
"2911","2006-2007","2006-12-01","CLE",16
"2912","2006-2007","2006-12-01","DAL",16
"2913","2006-2007","2006-12-01","DEN",14
"2914","2006-2007","2006-12-01","DET",16
"2915","2006-2007","2006-12-01","IND",17
"2916","2006-2007","2006-12-01","MIL",15
"2917","2006-2007","2006-12-01","MIN",15
"2918","2006-2007","2006-12-01","NOH",16
"2919","2006-2007","2006-12-01","NYK",18
"2920","2006-2007","2006-12-01","OKC",17
"2921","2006-2007","2006-12-01","ORL",17
"2922","2006-2007","2006-12-01","PHO",15
"2923","2006-2007","2006-12-01","POR",17
"2924","2006-2007","2006-12-01","SAC",14
"2925","2006-2007","2006-12-01","TOR",16
"2926","2006-2007","2006-12-01","WAS",15
"2927","2006-2007","2006-12-02","BRK",16
"2928","2006-2007","2006-12-02","CHI",16
"2929","2006-2007","2006-12-02","CLE",17
"2930","2006-2007","2006-12-02","DEN",15
"2931","2006-2007","2006-12-02","GSW",17
"2932","2006-2007","2006-12-02","HOU",16
"2933","2006-2007","2006-12-02","IND",18
"2934","2006-2007","2006-12-02","LAC",15
"2935","2006-2007","2006-12-02","LAL",16
"2936","2006-2007","2006-12-02","MEM",16
"2937","2006-2007","2006-12-02","MIA",16
"2938","2006-2007","2006-12-02","MIL",16
"2939","2006-2007","2006-12-02","NYK",19
"2940","2006-2007","2006-12-02","OKC",18
"2941","2006-2007","2006-12-02","PHI",15
"2942","2006-2007","2006-12-02","SAC",15
"2943","2006-2007","2006-12-02","SAS",17
"2944","2006-2007","2006-12-02","TOR",17
"2945","2006-2007","2006-12-02","UTA",18
"2946","2006-2007","2006-12-02","WAS",16
"2947","2006-2007","2006-12-03","ATL",15
"2948","2006-2007","2006-12-03","CHA",17
"2949","2006-2007","2006-12-03","DET",17
"2950","2006-2007","2006-12-03","LAC",16
"2951","2006-2007","2006-12-03","MIN",16
"2952","2006-2007","2006-12-03","ORL",18
"2953","2006-2007","2006-12-03","PHI",16
"2954","2006-2007","2006-12-03","POR",18
"2955","2006-2007","2006-12-04","BOS",16
"2956","2006-2007","2006-12-04","CHI",17
"2957","2006-2007","2006-12-04","DAL",17
"2958","2006-2007","2006-12-04","GSW",18
"2959","2006-2007","2006-12-04","IND",19
"2960","2006-2007","2006-12-04","LAL",17
"2961","2006-2007","2006-12-04","MEM",17
"2962","2006-2007","2006-12-04","MIL",17
"2963","2006-2007","2006-12-04","NYK",20
"2964","2006-2007","2006-12-04","ORL",19
"2965","2006-2007","2006-12-04","SAC",16
"2966","2006-2007","2006-12-04","SAS",18
"2967","2006-2007","2006-12-04","UTA",19
"2968","2006-2007","2006-12-04","WAS",17
"2969","2006-2007","2006-12-05","ATL",16
"2970","2006-2007","2006-12-05","BRK",17
"2971","2006-2007","2006-12-05","DAL",18
"2972","2006-2007","2006-12-05","DET",18
"2973","2006-2007","2006-12-05","GSW",19
"2974","2006-2007","2006-12-05","HOU",17
"2975","2006-2007","2006-12-05","LAC",17
"2976","2006-2007","2006-12-05","MIA",17
"2977","2006-2007","2006-12-05","OKC",19
"2978","2006-2007","2006-12-05","PHO",16
"2979","2006-2007","2006-12-05","POR",19
"2980","2006-2007","2006-12-05","SAC",17
"2981","2006-2007","2006-12-06","ATL",17
"2982","2006-2007","2006-12-06","BOS",17
"2983","2006-2007","2006-12-06","CHA",18
"2984","2006-2007","2006-12-06","CHI",18
"2985","2006-2007","2006-12-06","CLE",18
"2986","2006-2007","2006-12-06","DEN",16
"2987","2006-2007","2006-12-06","HOU",18
"2988","2006-2007","2006-12-06","IND",20
"2989","2006-2007","2006-12-06","LAL",18
"2990","2006-2007","2006-12-06","MEM",18
"2991","2006-2007","2006-12-06","MIL",18
"2992","2006-2007","2006-12-06","MIN",17
"2993","2006-2007","2006-12-06","NOH",17
"2994","2006-2007","2006-12-06","NYK",21
"2995","2006-2007","2006-12-06","ORL",20
"2996","2006-2007","2006-12-06","PHI",17
"2997","2006-2007","2006-12-06","POR",20
"2998","2006-2007","2006-12-06","SAS",19
"2999","2006-2007","2006-12-06","TOR",18
"3000","2006-2007","2006-12-06","WAS",18
"3001","2006-2007","2006-12-07","BRK",18
"3002","2006-2007","2006-12-07","DAL",19
"3003","2006-2007","2006-12-07","DET",19
"3004","2006-2007","2006-12-07","MIA",18
"3005","2006-2007","2006-12-07","PHO",17
"3006","2006-2007","2006-12-07","SAC",18
"3007","2006-2007","2006-12-08","ATL",18
"3008","2006-2007","2006-12-08","BOS",18
"3009","2006-2007","2006-12-08","CHA",19
"3010","2006-2007","2006-12-08","CHI",19
"3011","2006-2007","2006-12-08","DEN",17
"3012","2006-2007","2006-12-08","DET",20
"3013","2006-2007","2006-12-08","HOU",19
"3014","2006-2007","2006-12-08","IND",21
"3015","2006-2007","2006-12-08","LAC",18
"3016","2006-2007","2006-12-08","LAL",19
"3017","2006-2007","2006-12-08","MEM",19
"3018","2006-2007","2006-12-08","MIA",19
"3019","2006-2007","2006-12-08","MIL",19
"3020","2006-2007","2006-12-08","MIN",18
"3021","2006-2007","2006-12-08","NOH",18
"3022","2006-2007","2006-12-08","OKC",20
"3023","2006-2007","2006-12-08","ORL",21
"3024","2006-2007","2006-12-08","PHI",18
"3025","2006-2007","2006-12-08","PHO",18
"3026","2006-2007","2006-12-08","POR",21
"3027","2006-2007","2006-12-08","SAS",20
"3028","2006-2007","2006-12-08","TOR",19
"3029","2006-2007","2006-12-08","UTA",20
"3030","2006-2007","2006-12-08","WAS",19
"3031","2006-2007","2006-12-09","BOS",19
"3032","2006-2007","2006-12-09","BRK",19
"3033","2006-2007","2006-12-09","CHI",20
"3034","2006-2007","2006-12-09","CLE",19
"3035","2006-2007","2006-12-09","DAL",20
"3036","2006-2007","2006-12-09","DEN",18
"3037","2006-2007","2006-12-09","GSW",20
"3038","2006-2007","2006-12-09","HOU",20
"3039","2006-2007","2006-12-09","IND",22
"3040","2006-2007","2006-12-09","LAC",19
"3041","2006-2007","2006-12-09","MEM",20
"3042","2006-2007","2006-12-09","MIL",20
"3043","2006-2007","2006-12-09","MIN",19
"3044","2006-2007","2006-12-09","NOH",19
"3045","2006-2007","2006-12-09","NYK",22
"3046","2006-2007","2006-12-09","ORL",22
"3047","2006-2007","2006-12-09","PHI",19
"3048","2006-2007","2006-12-09","WAS",20
"3049","2006-2007","2006-12-10","ATL",19
"3050","2006-2007","2006-12-10","CHA",20
"3051","2006-2007","2006-12-10","GSW",21
"3052","2006-2007","2006-12-10","LAL",20
"3053","2006-2007","2006-12-10","OKC",21
"3054","2006-2007","2006-12-10","PHO",19
"3055","2006-2007","2006-12-10","POR",22
"3056","2006-2007","2006-12-10","SAC",19
"3057","2006-2007","2006-12-10","SAS",21
"3058","2006-2007","2006-12-10","TOR",20
"3059","2006-2007","2006-12-11","BOS",20
"3060","2006-2007","2006-12-11","BRK",20
"3061","2006-2007","2006-12-11","CHI",21
"3062","2006-2007","2006-12-11","CLE",20
"3063","2006-2007","2006-12-11","DAL",21
"3064","2006-2007","2006-12-11","IND",23
"3065","2006-2007","2006-12-11","LAC",20
"3066","2006-2007","2006-12-11","MEM",21
"3067","2006-2007","2006-12-11","MIA",20
"3068","2006-2007","2006-12-11","NOH",20
"3069","2006-2007","2006-12-11","NYK",23
"3070","2006-2007","2006-12-11","ORL",23
"3071","2006-2007","2006-12-11","PHI",20
"3072","2006-2007","2006-12-11","PHO",20
"3073","2006-2007","2006-12-11","POR",23
"3074","2006-2007","2006-12-11","SAS",22
"3075","2006-2007","2006-12-11","TOR",21
"3076","2006-2007","2006-12-11","UTA",21
"3077","2006-2007","2006-12-12","ATL",20
"3078","2006-2007","2006-12-12","DEN",19
"3079","2006-2007","2006-12-12","GSW",22
"3080","2006-2007","2006-12-12","HOU",21
"3081","2006-2007","2006-12-12","LAL",21
"3082","2006-2007","2006-12-12","MIL",21
"3083","2006-2007","2006-12-12","OKC",22
"3084","2006-2007","2006-12-12","SAC",20
"3085","2006-2007","2006-12-13","ATL",21
"3086","2006-2007","2006-12-13","BOS",21
"3087","2006-2007","2006-12-13","BRK",21
"3088","2006-2007","2006-12-13","CHA",21
"3089","2006-2007","2006-12-13","CHI",22
"3090","2006-2007","2006-12-13","CLE",21
"3091","2006-2007","2006-12-13","DAL",22
"3092","2006-2007","2006-12-13","DEN",20
"3093","2006-2007","2006-12-13","DET",21
"3094","2006-2007","2006-12-13","IND",24
"3095","2006-2007","2006-12-13","LAC",21
"3096","2006-2007","2006-12-13","LAL",22
"3097","2006-2007","2006-12-13","MEM",22
"3098","2006-2007","2006-12-13","MIA",21
"3099","2006-2007","2006-12-13","MIL",22
"3100","2006-2007","2006-12-13","MIN",20
"3101","2006-2007","2006-12-13","NYK",24
"3102","2006-2007","2006-12-13","OKC",23
"3103","2006-2007","2006-12-13","ORL",24
"3104","2006-2007","2006-12-13","PHI",21
"3105","2006-2007","2006-12-13","PHO",21
"3106","2006-2007","2006-12-13","POR",24
"3107","2006-2007","2006-12-13","SAS",23
"3108","2006-2007","2006-12-13","TOR",22
"3109","2006-2007","2006-12-13","UTA",22
"3110","2006-2007","2006-12-13","WAS",21
"3111","2006-2007","2006-12-14","CHA",22
"3112","2006-2007","2006-12-14","GSW",23
"3113","2006-2007","2006-12-14","HOU",22
"3114","2006-2007","2006-12-14","NOH",21
"3115","2006-2007","2006-12-14","ORL",25
"3116","2006-2007","2006-12-14","SAS",24
"3117","2006-2007","2006-12-15","ATL",22
"3118","2006-2007","2006-12-15","BOS",22
"3119","2006-2007","2006-12-15","BRK",22
"3120","2006-2007","2006-12-15","CHI",23
"3121","2006-2007","2006-12-15","CLE",22
"3122","2006-2007","2006-12-15","DAL",23
"3123","2006-2007","2006-12-15","DEN",21
"3124","2006-2007","2006-12-15","GSW",24
"3125","2006-2007","2006-12-15","HOU",23
"3126","2006-2007","2006-12-15","IND",25
"3127","2006-2007","2006-12-15","LAC",22
"3128","2006-2007","2006-12-15","LAL",23
"3129","2006-2007","2006-12-15","MEM",23
"3130","2006-2007","2006-12-15","MIA",22
"3131","2006-2007","2006-12-15","MIL",23
"3132","2006-2007","2006-12-15","NYK",25
"3133","2006-2007","2006-12-15","OKC",24
"3134","2006-2007","2006-12-15","PHI",22
"3135","2006-2007","2006-12-15","PHO",22
"3136","2006-2007","2006-12-15","POR",25
"3137","2006-2007","2006-12-15","SAC",21
"3138","2006-2007","2006-12-15","TOR",23
"3139","2006-2007","2006-12-15","UTA",23
"3140","2006-2007","2006-12-15","WAS",22
"3141","2006-2007","2006-12-16","ATL",23
"3142","2006-2007","2006-12-16","BOS",23
"3143","2006-2007","2006-12-16","BRK",23
"3144","2006-2007","2006-12-16","CHA",23
"3145","2006-2007","2006-12-16","CHI",24
"3146","2006-2007","2006-12-16","CLE",23
"3147","2006-2007","2006-12-16","DAL",24
"3148","2006-2007","2006-12-16","DEN",22
"3149","2006-2007","2006-12-16","DET",22
"3150","2006-2007","2006-12-16","MEM",24
"3151","2006-2007","2006-12-16","MIA",23
"3152","2006-2007","2006-12-16","MIL",24
"3153","2006-2007","2006-12-16","MIN",21
"3154","2006-2007","2006-12-16","NOH",22
"3155","2006-2007","2006-12-16","NYK",26
"3156","2006-2007","2006-12-16","ORL",26
"3157","2006-2007","2006-12-16","PHI",23
"3158","2006-2007","2006-12-16","PHO",23
"3159","2006-2007","2006-12-16","SAC",22
"3160","2006-2007","2006-12-16","SAS",25
"3161","2006-2007","2006-12-17","DET",23
"3162","2006-2007","2006-12-17","GSW",25
"3163","2006-2007","2006-12-17","HOU",24
"3164","2006-2007","2006-12-17","IND",26
"3165","2006-2007","2006-12-17","LAC",23
"3166","2006-2007","2006-12-17","LAL",24
"3167","2006-2007","2006-12-17","OKC",25
"3168","2006-2007","2006-12-17","TOR",24
"3169","2006-2007","2006-12-17","UTA",24
"3170","2006-2007","2006-12-17","WAS",23
"3171","2006-2007","2006-12-18","BRK",24
"3172","2006-2007","2006-12-18","DAL",25
"3173","2006-2007","2006-12-18","DEN",23
"3174","2006-2007","2006-12-18","GSW",26
"3175","2006-2007","2006-12-18","MEM",25
"3176","2006-2007","2006-12-18","MIA",24
"3177","2006-2007","2006-12-18","NOH",23
"3178","2006-2007","2006-12-18","NYK",27
"3179","2006-2007","2006-12-18","OKC",26
"3180","2006-2007","2006-12-18","SAC",23
"3181","2006-2007","2006-12-18","UTA",25
"3182","2006-2007","2006-12-18","WAS",24
"3183","2006-2007","2006-12-19","CHI",25
"3184","2006-2007","2006-12-19","LAL",25
"3185","2006-2007","2006-12-19","PHO",24
"3186","2006-2007","2006-12-19","TOR",25
"3187","2006-2007","2006-12-20","ATL",24
"3188","2006-2007","2006-12-20","BOS",24
"3189","2006-2007","2006-12-20","BRK",25
"3190","2006-2007","2006-12-20","CHA",24
"3191","2006-2007","2006-12-20","CLE",24
"3192","2006-2007","2006-12-20","DAL",26
"3193","2006-2007","2006-12-20","GSW",27
"3194","2006-2007","2006-12-20","HOU",25
"3195","2006-2007","2006-12-20","IND",27
"3196","2006-2007","2006-12-20","LAC",24
"3197","2006-2007","2006-12-20","LAL",26
"3198","2006-2007","2006-12-20","MEM",26
"3199","2006-2007","2006-12-20","MIA",25
"3200","2006-2007","2006-12-20","MIL",25
"3201","2006-2007","2006-12-20","MIN",22
"3202","2006-2007","2006-12-20","NOH",24
"3203","2006-2007","2006-12-20","NYK",28
"3204","2006-2007","2006-12-20","OKC",27
"3205","2006-2007","2006-12-20","ORL",27
"3206","2006-2007","2006-12-20","PHI",24
"3207","2006-2007","2006-12-20","POR",26
"3208","2006-2007","2006-12-20","SAS",26
"3209","2006-2007","2006-12-20","TOR",26
"3210","2006-2007","2006-12-20","UTA",26
"3211","2006-2007","2006-12-21","CLE",25
"3212","2006-2007","2006-12-21","DET",24
"3213","2006-2007","2006-12-21","SAC",24
"3214","2006-2007","2006-12-21","WAS",25
"3215","2006-2007","2006-12-22","ATL",25
"3216","2006-2007","2006-12-22","BOS",25
"3217","2006-2007","2006-12-22","BRK",26
"3218","2006-2007","2006-12-22","CHA",25
"3219","2006-2007","2006-12-22","CHI",26
"3220","2006-2007","2006-12-22","DAL",27
"3221","2006-2007","2006-12-22","DEN",24
"3222","2006-2007","2006-12-22","GSW",28
"3223","2006-2007","2006-12-22","HOU",26
"3224","2006-2007","2006-12-22","IND",28
"3225","2006-2007","2006-12-22","LAC",25
"3226","2006-2007","2006-12-22","LAL",27
"3227","2006-2007","2006-12-22","MEM",27
"3228","2006-2007","2006-12-22","MIL",26
"3229","2006-2007","2006-12-22","MIN",23
"3230","2006-2007","2006-12-22","NOH",25
"3231","2006-2007","2006-12-22","NYK",29
"3232","2006-2007","2006-12-22","ORL",28
"3233","2006-2007","2006-12-22","PHI",25
"3234","2006-2007","2006-12-22","PHO",25
"3235","2006-2007","2006-12-22","POR",27
"3236","2006-2007","2006-12-22","SAC",25
"3237","2006-2007","2006-12-22","SAS",27
"3238","2006-2007","2006-12-22","TOR",27
"3239","2006-2007","2006-12-22","UTA",27
"3240","2006-2007","2006-12-22","WAS",26
"3241","2006-2007","2006-12-23","ATL",26
"3242","2006-2007","2006-12-23","BRK",27
"3243","2006-2007","2006-12-23","CHA",26
"3244","2006-2007","2006-12-23","CHI",27
"3245","2006-2007","2006-12-23","CLE",26
"3246","2006-2007","2006-12-23","DET",25
"3247","2006-2007","2006-12-23","GSW",29
"3248","2006-2007","2006-12-23","HOU",27
"3249","2006-2007","2006-12-23","IND",29
"3250","2006-2007","2006-12-23","LAC",26
"3251","2006-2007","2006-12-23","MEM",28
"3252","2006-2007","2006-12-23","MIA",26
"3253","2006-2007","2006-12-23","MIL",27
"3254","2006-2007","2006-12-23","MIN",24
"3255","2006-2007","2006-12-23","NOH",26
"3256","2006-2007","2006-12-23","NYK",30
"3257","2006-2007","2006-12-23","OKC",28
